location,crowd_count,temperature,hour
Saraswati Ghat,3619,18,8
Dashashwamedh Ghat (Prayagraj),3698,28,2
Dashashwamedh Ghat (Prayagraj),1080,26,3
Prayagraj Junction,4393,32,6
Kumbh Mela Ground (Main Venue),6405,36,17
Prayagraj Junction,2104,35,2
Triveni Sangam (Confluence Zone),14606,14,13
Shri Bade Hanuman Temple,5195,11,11
Saraswati Ghat,2901,15,1
Triveni Sangam (Confluence Zone),4329,45,2
Shri Bade Hanuman Temple,2724,11,0
Shri Bade Hanuman Temple,6889,12,6
Dashashwamedh Ghat (Prayagraj),2840,43,7
Shri Bade Hanuman Temple,3292,16,4
Shri Bade Hanuman Temple,5895,36,19
Alopankari Temple Area,3842,24,19
Dashashwamedh Ghat (Prayagraj),4039,14,7
Prayagraj Junction,5483,11,16
Prayagraj Junction,5601,12,8
Shri Bade Hanuman Temple,5384,42,2
Prayagraj Junction,5172,32,7
Kumbh Mela Ground (Main Venue),6557,25,22
Triveni Sangam (Confluence Zone),9609,38,12
Prayagraj Junction,2175,44,5
Kumbh Mela Ground (Main Venue),9231,35,18
Dashashwamedh Ghat (Prayagraj),4518,15,11
Dashashwamedh Ghat (Prayagraj),730,23,23
Prayagraj Junction,8189,23,14
Saraswati Ghat,6748,11,11
Kumbh Mela Ground (Main Venue),9490,32,6
Prayagraj Junction,3130,38,16
Dashashwamedh Ghat (Prayagraj),5164,23,18
Prayagraj Junction,3508,11,6
Alopankari Temple Area,4783,42,11
Kumbh Mela Ground (Main Venue),9664,30,15
Saraswati Ghat,6323,37,14
Triveni Sangam (Confluence Zone),9269,42,12
Saraswati Ghat,3679,24,2
Kumbh Mela Ground (Main Venue),5343,42,18
Alopankari Temple Area,3000,38,13
Saraswati Ghat,6052,32,11
Saraswati Ghat,1874,30,0
Prayagraj Junction,4103,16,1
Shri Bade Hanuman Temple,6546,43,6
Kumbh Mela Ground (Main Venue),9602,29,17
Triveni Sangam (Confluence Zone),6755,17,22
Dashashwamedh Ghat (Prayagraj),4400,35,18
Shri Bade Hanuman Temple,3091,35,1
Triveni Sangam (Confluence Zone),10321,26,0
Saraswati Ghat,2812,13,9
Shri Bade Hanuman Temple,7757,16,18
Kumbh Mela Ground (Main Venue),3792,30,23
Saraswati Ghat,4688,40,20
Prayagraj Junction,3230,30,18
Kumbh Mela Ground (Main Venue),6564,24,17
Kumbh Mela Ground (Main Venue),10891,45,14
Shri Bade Hanuman Temple,7413,27,12
Kumbh Mela Ground (Main Venue),8738,32,11
Triveni Sangam (Confluence Zone),10081,22,12
Triveni Sangam (Confluence Zone),14628,32,15
Prayagraj Junction,7493,37,15
Shri Bade Hanuman Temple,6752,15,18
Alopankari Temple Area,2701,40,7
Saraswati Ghat,4690,24,7
Prayagraj Junction,5210,16,12
Shri Bade Hanuman Temple,5981,11,6
Prayagraj Junction,3066,41,8
Triveni Sangam (Confluence Zone),10751,25,16
Shri Bade Hanuman Temple,2152,43,0
Dashashwamedh Ghat (Prayagraj),4572,16,7
Shri Bade Hanuman Temple,7183,10,12
Saraswati Ghat,6745,31,11
Kumbh Mela Ground (Main Venue),7084,30,11
Saraswati Ghat,6866,23,13
Shri Bade Hanuman Temple,6954,34,10
Prayagraj Junction,6632,26,19
Dashashwamedh Ghat (Prayagraj),6425,25,9
Saraswati Ghat,529,36,4
Saraswati Ghat,2740,10,23
Saraswati Ghat,3542,42,9
Alopankari Temple Area,8145,29,16
Dashashwamedh Ghat (Prayagraj),4755,17,19
Saraswati Ghat,500,24,0
Saraswati Ghat,1336,17,0
Prayagraj Junction,2485,34,1
Alopankari Temple Area,4321,33,6
Dashashwamedh Ghat (Prayagraj),1200,41,9
Prayagraj Junction,2441,33,6
Kumbh Mela Ground (Main Venue),6749,16,1
Triveni Sangam (Confluence Zone),9821,34,19
Alopankari Temple Area,1067,20,0
Alopankari Temple Area,4908,45,14
Triveni Sangam (Confluence Zone),8424,39,10
Saraswati Ghat,2553,12,17
Prayagraj Junction,8036,22,16
Dashashwamedh Ghat (Prayagraj),914,36,18
Triveni Sangam (Confluence Zone),8309,21,18
Kumbh Mela Ground (Main Venue),10041,25,18
Kumbh Mela Ground (Main Venue),5158,34,0
Prayagraj Junction,2682,44,23
Saraswati Ghat,2056,36,21
Prayagraj Junction,2663,14,0
Shri Bade Hanuman Temple,7365,25,16
Dashashwamedh Ghat (Prayagraj),1871,12,5
Triveni Sangam (Confluence Zone),11279,17,2
Kumbh Mela Ground (Main Venue),6301,44,0
Kumbh Mela Ground (Main Venue),8584,37,6
Shri Bade Hanuman Temple,6244,17,0
Kumbh Mela Ground (Main Venue),10457,37,6
Dashashwamedh Ghat (Prayagraj),6649,36,16
Prayagraj Junction,4484,16,8
Kumbh Mela Ground (Main Venue),2698,39,3
Saraswati Ghat,8287,20,15
Alopankari Temple Area,4353,28,9
Dashashwamedh Ghat (Prayagraj),3957,40,16
Alopankari Temple Area,500,12,5
Prayagraj Junction,5852,44,14
Saraswati Ghat,4327,30,19
Shri Bade Hanuman Temple,5276,45,11
Saraswati Ghat,6355,21,18
Dashashwamedh Ghat (Prayagraj),3926,11,2
Prayagraj Junction,1620,44,0
Prayagraj Junction,5357,12,16
Prayagraj Junction,7022,22,13
Kumbh Mela Ground (Main Venue),5647,10,4
Dashashwamedh Ghat (Prayagraj),8113,26,14
Kumbh Mela Ground (Main Venue),10996,34,21
Kumbh Mela Ground (Main Venue),11888,32,6
Saraswati Ghat,2844,34,1
Shri Bade Hanuman Temple,6602,21,1
Prayagraj Junction,500,38,22
Shri Bade Hanuman Temple,4848,40,4
Prayagraj Junction,1220,24,3
Prayagraj Junction,666,41,7
